adaptive-rejection-sampler	4	5	7.74	0
bn-fit-modify	5	5	0.98	0
break-filter-js-from-html	5	5	5.06	0
build-cython-ext	4	5	5.41	0
build-pmars	5	5	1.55	0
build-pov-ray	0	5	2.96	0
caffe-cifar-10	4	5	6.46	1
cancel-async-tasks	4	5	1.18	0
chess-best-move	4	5	1.49	0
circuit-fibsqrt	5	5	8.54	0
cobol-modernization	5	5	4.43	0
code-from-image	5	5	0.09	0
compile-compcert	3	5	2.00	2
configure-git-webserver	4	5	0.48	0
constraints-scheduling	5	5	0.57	0
count-dataset-tokens	5	5	0.41	0
crack-7z-hash	5	5	1.97	0
custom-memory-heap-crash	3	5	5.18	0
db-wal-recovery	0	5	2.65	0
distribution-search	5	5	1.72	0
dna-assembly	5	5	11.62	0
dna-insert	0	5	2.49	0
extract-elf	4	5	1.02	0
extract-moves-from-video	1	5	4.20	4
feal-differential-cryptanalysis	5	5	5.38	0
feal-linear-cryptanalysis	2	5	1.99	3
filter-js-from-html	0	5	6.97	0
financial-document-processor	5	5	2.20	0
fix-code-vulnerability	5	5	0.44	0
fix-git	5	5	0.38	0
fix-ocaml-gc	5	5	5.40	0
gcode-to-text	4	5	1.60	0
git-leak-recovery	5	5	0.24	0
git-multibranch	5	5	1.01	0
gpt2-codegolf	1	5	0.00	5
headless-terminal	4	5	1.71	0
hf-model-inference	5	5	0.36	0
install-windows-3.11	3	5	4.61	0
kv-store-grpc	5	5	0.32	0
large-scale-text-editing	5	5	0.52	0
largest-eigenval	5	5	0.66	0
llm-inference-batching-scheduler	3	5	6.84	1
log-summary-date-ranges	4	5	0.22	0
mailman	5	5	7.46	0
make-doom-for-mips	0	5	0.00	5
make-mips-interpreter	3	5	21.63	0
mcmc-sampling-stan	5	5	3.47	0
merge-diff-arc-agi-task	4	5	1.41	0
model-extraction-relu-logits	1	5	3.58	1
modernize-scientific-stack	5	5	0.29	0
mteb-leaderboard	5	5	4.55	0
mteb-retrieve	2	5	0.36	0
multi-source-data-merger	4	5	0.43	0
nginx-request-logging	5	5	0.60	0
openssl-selfsigned-cert	4	5	0.42	0
overfull-hbox	5	5	3.79	0
password-recovery	4	5	2.50	1
path-tracing	3	5	0.00	5
path-tracing-reverse	5	5	19.14	0
polyglot-c-py	5	5	1.58	0
polyglot-rust-c	3	5	2.80	2
portfolio-optimization	4	5	0.93	0
protein-assembly	0	5	0.00	0
prove-plus-comm	5	5	0.15	0
pypi-server	4	5	0.37	0
pytorch-model-cli	4	5	1.30	0
pytorch-model-recovery	5	5	1.13	0
qemu-alpine-ssh	4	5	1.22	1
qemu-startup	4	5	1.07	0
query-optimize	3	5	1.18	0
raman-fitting	0	5	4.90	0
regex-chess	5	5	6.30	3
regex-log	5	5	1.00	0
reshard-c4-data	5	5	3.45	0
rstan-to-pystan	5	5	2.10	0
sam-cell-seg	4	5	4.88	0
sanitize-git-repo	3	5	2.86	0
schemelike-metacircular-eval	3	5	11.19	1
sparql-university	4	5	1.47	0
sqlite-db-truncate	5	5	0.88	0
sqlite-with-gcov	5	5	1.04	0
torch-pipeline-parallelism	3	5	3.50	0
torch-tensor-parallelism	4	5	1.96	0
train-fasttext	1	5	0.76	4
tune-mjcf	4	5	1.39	1
video-processing	1	5	8.43	0
vulnerable-secret	4	5	0.46	0
winning-avg-corewars	2	5	23.55	2
write-compressor	5	5	5.69	0
